idx	uid	img_path	fig_num	caption
0	PMC2193129	/imgs/512/60/2193129/PMC2193129_JEM991708.f2.png	F2	Affinity isolation of <b>PSGL-1</b> glycoprotein from platelets and neutrophils. (A) Purified preparations of neutrophils or platelets were biotinylated and lysed. Cell lysates were incubated with P-selectinIgG (P-sel-IgG) chimera or anti<b>PSGL-1</b> (PSL-275). Specifically bound proteins were eluted and separated on 7.5% SDS gel under nonreduced conditions. (B) <b>PSGL-1</b> was immunopurifed from neutrophil and platelet lysates. SDS-eluted proteins were analyzed on 7.5% SDS gel. The blotted proteins were detected with P-selectinIgG and HRP-conjugated antihuman IgG. (C) Biotinylated platelets were lysed and subjected to affinity isolation with P-selectinIgG (P-sel-IgG). The high molecular weight complex (*) seen in the nonreduced (NR) sample likely represents a disulfide-bonded multimer formed during platelet lysis through exposure of free sulfhydryl from the transmembrane and the cytoplasmic domains of <b>PSGL-1</b>. Note that the major species observed in the reduced lane (R) is of the expected size 120 kD for <b>PSGL-1</b> monomer (arrow). The numbers on the side indicate migration of marker proteins in kD.
1	PMC2195714	/imgs/512/239/2195714/PMC2195714_JEM990987.f3.png	F3	Flow cytometric analysis of <b>PSGL-1</b> expression on peripheral blood neutrophils. Cells from wild-type (+/+; top), <b>PSGL-1</b>+/ (middle), and <b>PSGL-1</b>/ (bottom) mice were stained with anti<b>PSGL-1</b> antibodies (solid line) or polyclonal rabbit nonimmune IgG (dotted line) followed by FITC-labeled goat antirabbit IgG. Fluorescence intensity is shown on the x-axis; cell number is presented on the y-axis.
2	PMC4790886	/imgs/512/139/4790886/PMC4790886_ppat.1005500.g005.png	ppat.1005500.g005	Contribution of <b>PSGL-1</b> to host defense against invasive pneumococcal disease.(A) Bacterial levels recovered at 6 h and 24 h from BALF, lung and blood of <b>PSGL-1</b>/ mice (open bars) and wild-type mice (black bars) after pneumonia infection with the pneumococcal D39 strain. (B) Bacterial levels recovered from blood of <b>PSGL-1</b>/ mice (open bars) and wild-type mice (black bars) after sepsis caused by D39 strain. (C) Survival rates of <b>PSGL-1</b>/ mice (solid line) and wild-type mice (dotted line) after pneumococcal sepsis produced by D39 S. pneumoniae strain. (D) Bacterial levels recovered from blood of <b>PSGL-1</b>/ mice (open bars) and wild-type mice (black bars) after intravenous infection with D39 strain. (E-F) Bacterial counts in blood and survival of <b>PSGL-1</b>/ mice (open bars and solid line) and wild-type mice (black bars and dotted line) infected by the intraperitoneal route (sepsis) with TIGR4 strain. Error bars represent the SDs and asterisks indicate statistical significance of bacterial levels of <b>PSGL-1</b>/ mice compared to wild-type mice. For differences in survival between wild-type mice and <b>PSGL1</b>/ mice a long-rank test was used (P &lt;0.01 for D39 strain and P &lt;0.05 for TIGR4 strain).
3	PMC2196023	/imgs/512/147/2196023/PMC2196023_JEM.borges2.png	F2	FACS analysis of  Th1 and Th2 cells with P-selectinIg and antibodies against  <b>PSGL-1</b>. Th1 and Th2 cells (as  indicated) were analyzed by flow  cytometry either with affinitypurified rabbit antibodies against  mouse <b>PSGL-1</b>  (A and B, solid  lines) or with P-selectinIg (C and  D, solid lines). Dotted lines show  negative control staining either  with nonimmune rabbit IgG (A  and B) or with human IgG (C  and D). E shows the staining of  Th1 cells with P-selectinIgG  after preincubation of the cells  either with nonimmune rabbit  IgG (faint line) or with affinitypurified rabbit anti<b>PSGL-1</b> antibodies (bold line). P-selectinIg  was detected with PE-conjugated  F(ab)2 donkey antihuman IgG,  and rabbit antibodies were detected with FITC-conjugated  goat antirabbit IgG.
4	PMC2193099	/imgs/512/30/2193099/PMC2193099_JEM001376.f3.png	F3	Selectin-binding activities of <b>PSGL-1</b>deficient Th1 cells. In vitrogenerated Th1 cells from <b>PSGL-1</b>+/+ or <b>PSGL-1</b>/ mice were labeled with BCECF and added to 96-well plates coated with human IgG, P-selectinIgG chimera (P-IgG), or E-selectinIgG chimera (E-IgG). The plates were incubated for 20 min at 4C under rotating conditions, unbound cells were removed, and the fluorescence per well was determined. Percent adhesion equals 100  bound cells/total cells added. (A) Adhesion of <b>PSGL-1</b>+/+ or <b>PSGL-1</b>/ unstimulated CD4+ cells and Th1 cells to selectinIgG chimeras. (B) Adhesion of <b>PSGL-1</b>+/+ Th1 cells treated with anti<b>PSGL-1</b> antibodies to selectinIgG chimeras. <b>PSGL-1</b>+/+ Th1 cells were incubated with either rabbit anti<b>PSGL-1</b> or nonimmune IgG for 30 min on ice and washed before addition to the wells. Values are means  SEM from triplicate wells.
5	PMC2133017	/imgs/512/98/2133017/PMC2133017_JCB12596.f1ab.png	F1	Dimerization of  <b>PSGL-1</b> is mediated by cysteine 320. (A) SDS-PAGE  analysis of KPL1 immunoprecipitates made from cell  surface biotinylated K562  cells stably transfected with  either wild-type <b>PSGL-1</b>  (lane 1) or C320A (lane 2).  KPL1 immunoprecipitates  were electrophoresed under  nonreducing conditions,  transferred to nitrocellulose  and probed with avidin-HRPO. (B) Native gel electrophoresis of wild-type  <b>PSGL-1</b> (lane 1) or C320A  (lane 2). Cell lysates were  analyzed by native PAGE  on 5% polyacrylamide gels,  transferred to nitrocellulose  and probed with KPL1. Under both denaturing and native conditions, K562 cells transfected with <b>PSGL-1</b> express primarily the 240-kD form of the molecule,  whereas cells transfected with C320A express only the monomeric form of <b>PSGL-1</b>. (C) Cross-linking analysis of <b>PSGL-1</b> and C320A  dimerization. Cells were incubated with 3-100 M BS3 cross-linker and analyzed under reducing conditions by SDS-PAGE followed by  Western blotting with KPL1.
6	PMC2133017	/imgs/512/98/2133017/PMC2133017_JCB12596.f1c.png	F1	Dimerization of  <b>PSGL-1</b> is mediated by cysteine 320. (A) SDS-PAGE  analysis of KPL1 immunoprecipitates made from cell  surface biotinylated K562  cells stably transfected with  either wild-type <b>PSGL-1</b>  (lane 1) or C320A (lane 2).  KPL1 immunoprecipitates  were electrophoresed under  nonreducing conditions,  transferred to nitrocellulose  and probed with avidin-HRPO. (B) Native gel electrophoresis of wild-type  <b>PSGL-1</b> (lane 1) or C320A  (lane 2). Cell lysates were  analyzed by native PAGE  on 5% polyacrylamide gels,  transferred to nitrocellulose  and probed with KPL1. Under both denaturing and native conditions, K562 cells transfected with <b>PSGL-1</b> express primarily the 240-kD form of the molecule,  whereas cells transfected with C320A express only the monomeric form of <b>PSGL-1</b>. (C) Cross-linking analysis of <b>PSGL-1</b> and C320A  dimerization. Cells were incubated with 3-100 M BS3 cross-linker and analyzed under reducing conditions by SDS-PAGE followed by  Western blotting with KPL1.
7	PMC2195714	/imgs/512/239/2195714/PMC2195714_JEM990987.f7d.png	F7	Leukocyte rolling after TNF- stimulation. Intravital microscopy of cremaster muscle venules 2 h after injection of TNF- into the scrotal sac revealed the presence of rolling leukocytes (arrows) associated with the vascular wall in wild-type mice (A) and in <b>PSGL-1</b>deficient mice (B). Infusion of the blocking E-selectin antibody 9A9 into <b>PSGL-1</b>deficient mice greatly reduced the number of rolling leukocytes; leukocytes visible in C are stationary. Videos available at http://www.jem.org/cgi/content/full/190/12/1769/F7/DC1 correspond to A and B, and to two time points in C, showing leukocyte rolling before infusion of antiE-selectin antibody, and leukocyte rolling during and after infusion of antiE-selectin antibody, respectively. The leukocyte rolling flux fraction, measured as the number of rolling leukocytes compared with the total leukocytes in flowing blood per unit time, is compared for <b>PSGL-1</b>+/+ mice, <b>PSGL-1</b>/ mice, <b>PSGL-1</b>/ mice treated with antiE-selectin antibody 9A9, <b>PSGL-1</b>+/+ mice treated with antiE-selectin antibody 9A9, P-selectin (P-sel)+/+ mice, and P-selectin/ mice in this assay system (D).
8	PMC2193129	/imgs/512/60/2193129/PMC2193129_JEM991708.f1.png	F1	<b>PSGL-1</b> expression in platelets and megakaryocytic cell lines. (A) For flow cytometry, mouse platelets were double labeled with the mAb D9 against mouse IIb3 and with the polyclonal antibody L4025 against mouse <b>PSGL-1</b>, or with preimmune rabbit IgG. (B) For reverse transcriptase PCR, total RNA was prepared from gel-filtered human platelets and from two human megakaryocytic cell lines, CMK-86 and CMK-11/5. After cDNA conversion, a fragment of expected length was amplified by PCR using primers from human <b>PSGL-1</b> sequence. (C) <b>PSGL-1</b> expression on CMK-11/5 evaluated by flow cytometry. CMK-11/5 cells were labeled with the mAb PL1 directed against human <b>PSGL-1</b> (open area) or with preimmune mouse IgG (filled area). FSC-H, forward scatter; SSC-H, side scatter.
9	PMC2193099	/imgs/512/30/2193099/PMC2193099_JEM001376.f2.png	F2	Migration of <b>PSGL-1</b>deficient Th1 cells into the inflamed skin is impaired. 51Cr-labeled <b>PSGL-1</b>+/+ or <b>PSGL-1</b>/ Th1 cells were injected into the tail veins of <b>PSGL-1</b>+/+ mice. The mice had been sensitized 6 d before with oxazolone and challenged 24 h before on the left ear. The mice were killed 3 h after injection, and the radioactivity in the control and challenged ears was counted. Values are means  SEM from four mice.
